id,date_releve,humidity,dewpoint,pressure,windspeed,visibility,cloudcover,windgust,uvindex,precipintensity,precipintensitymax,temperaturehigh,temperaturelow,temperaturehighoffset2,temperaturelowoffset2
943,2017-07-28,0.68,13.83,1015.09,3.89,9.99,0.77,7.55,5.42,0.00,0.07,25.35,16.58,27.35,18.58
243,2017-07-29,0.69,15.40,1014.17,3.64,9.65,0.76,7.26,4.93,0.02,0.28,28.01,18.06,30.01,20.06
481,2017-07-30,0.68,15.41,1012.47,4.07,9.97,0.79,8.18,5.18,0.01,0.09,26.01,16.13,28.01,18.13
1181,2017-07-31,0.69,14.64,1013.59,3.00,9.94,0.76,5.63,5.33,0.00,0.06,26.58,17.16,28.58,19.16
473,2017-08-01,0.68,14.90,1015.21,2.94,9.93,0.77,6.71,5.54,0.03,0.22,27.42,16.71,29.42,18.71
500,2017-08-02,0.68,15.91,1017.05,3.09,9.69,0.70,7.35,4.41,0.09,1.27,29.52,18.96,31.52,20.96
282,2017-08-03,0.67,16.32,1015.25,4.10,9.94,0.76,9.54,4.92,0.01,0.06,28.39,18.33,30.39,20.33
89,2017-08-04,0.66,15.60,1015.45,3.37,9.96,0.82,6.44,4.42,0.01,0.11,27.86,17.71,29.86,19.71
108,2017-08-05,0.67,14.78,1017.30,3.74,9.90,0.80,7.53,4.41,0.01,0.08,26.03,14.25,28.03,16.25
803,2017-08-06,0.62,11.51,1021.15,3.32,9.98,0.60,6.77,5.44,0.02,0.21,25.66,13.06,27.66,15.06
691,2017-08-07,0.58,10.87,1016.38,2.53,10.00,0.55,5.90,3.74,0.00,0.01,27.68,16.13,29.68,18.13
129,2017-08-08,0.73,13.49,1013.57,3.71,9.82,0.84,8.65,4.86,0.10,1.10,22.20,12.75,24.20,14.75
6,2017-08-09,0.72,11.46,1016.73,3.47,9.89,0.74,7.70,4.81,0.04,0.48,21.91,12.85,23.91,14.85
30,2017-08-10,0.73,11.07,1020.50,4.01,9.73,0.79,7.95,4.95,0.06,0.39,21.00,12.59,23.00,14.59
1048,2017-08-11,0.71,10.64,1020.87,4.13,9.56,0.76,8.36,4.90,0.03,0.30,21.14,13.13,23.14,15.13
697,2017-08-12,0.71,11.81,1020.63,3.87,9.69,0.81,7.28,4.45,0.01,0.09,22.76,14.01,24.76,16.01
305,2017-08-13,0.68,12.58,1020.35,2.29,9.94,0.78,4.54,4.00,0.00,0.01,24.76,13.86,26.76,15.86
439,2017-08-14,0.65,13.73,1017.11,2.42,9.91,0.54,5.61,4.26,0.00,0.01,28.70,17.46,30.70,19.46
521,2017-08-15,0.70,15.07,1017.01,3.10,9.92,0.78,7.71,4.24,0.01,0.21,25.81,15.53,27.81,17.53
625,2017-08-16,0.72,14.74,1020.18,2.27,9.71,0.73,5.62,4.95,0.00,0.07,26.18,17.08,28.18,19.08
750,2017-08-17,0.71,15.80,1017.99,3.28,9.78,0.77,6.12,4.02,0.03,0.47,27.07,17.50,29.07,19.50
1151,2017-08-18,0.74,15.53,1016.76,3.62,9.87,0.76,8.39,4.67,0.03,0.32,25.36,14.38,27.36,16.38
414,2017-08-19,0.67,11.47,1020.73,3.86,9.94,0.63,7.80,4.90,0.01,0.10,23.28,11.56,25.28,13.56
561,2017-08-20,0.61,9.39,1023.56,3.10,10.01,0.69,6.99,4.21,0.00,0.03,23.87,13.60,25.87,15.60
418,2017-08-21,0.62,11.59,1021.21,2.47,9.67,0.80,5.43,2.88,0.01,0.06,26.82,15.58,28.82,17.58
991,2017-08-22,0.62,13.71,1017.10,2.84,9.66,0.63,5.97,3.12,0.00,0.01,29.58,16.87,31.58,18.87
534,2017-08-23,0.70,15.34,1016.35,3.12,9.87,0.73,6.23,4.07,0.01,0.10,27.35,16.21,29.35,18.21
71,2017-08-24,0.72,15.54,1017.33,2.48,9.78,0.73,5.27,4.14,0.02,0.33,26.99,16.84,28.99,18.84
705,2017-08-25,0.71,15.71,1016.57,2.86,9.80,0.74,5.72,4.62,0.01,0.10,27.53,16.58,29.53,18.58
346,2017-08-26,0.69,15.89,1015.90,2.38,9.29,0.55,5.03,5.12,0.00,0.02,29.31,17.95,31.31,19.95
999,2017-08-27,0.66,16.11,1016.13,2.39,9.73,0.78,5.74,3.29,0.02,0.21,30.25,17.94,32.25,19.94
156,2017-08-28,0.65,16.39,1015.43,2.27,9.62,0.57,5.15,3.33,0.00,0.02,31.48,18.06,33.48,20.06
814,2017-08-29,0.66,16.48,1013.24,2.53,9.59,0.54,5.93,3.64,0.00,0.01,30.61,18.32,32.61,20.32
1147,2017-08-30,0.76,16.11,1012.49,3.39,9.61,0.82,8.00,3.98,0.07,0.70,25.28,14.14,27.28,16.14
152,2017-08-31,0.77,12.78,1018.83,3.16,9.75,0.81,6.78,4.24,0.10,0.73,21.05,11.92,23.05,13.92
874,2017-09-01,0.72,10.80,1020.00,3.14,9.94,0.71,7.91,4.40,0.03,0.34,21.47,11.72,23.47,13.72
615,2017-09-02,0.70,9.77,1020.65,3.73,9.71,0.64,7.92,4.17,0.01,0.08,21.08,10.27,23.08,12.27
147,2017-09-03,0.70,9.56,1015.64,3.03,9.48,0.78,7.11,4.17,0.04,0.23,21.72,14.01,23.72,16.01
1169,2017-09-04,0.73,13.15,1015.31,2.55,9.69,0.86,5.17,4.07,0.01,0.14,23.89,15.54,25.89,17.54
377,2017-09-05,0.75,14.81,1019.50,3.39,9.78,0.80,7.46,4.29,0.00,0.05,24.68,15.41,26.68,17.41
76,2017-09-06,0.70,12.45,1022.09,4.22,9.96,0.81,8.14,3.83,0.01,0.08,22.03,13.12,24.03,15.12
502,2017-09-07,0.69,10.57,1018.94,3.63,9.98,0.82,6.99,3.79,0.00,0.02,21.01,13.67,23.01,15.67
669,2017-09-08,0.73,11.67,1011.42,4.37,9.73,0.85,9.15,3.64,0.05,0.41,21.08,13.31,23.08,15.31
348,2017-09-09,0.78,11.66,1004.31,4.19,9.84,0.80,9.09,3.90,0.12,1.19,19.13,11.05,21.13,13.05
248,2017-09-10,0.76,10.37,1006.95,4.58,9.68,0.79,10.63,3.88,0.01,0.11,19.53,12.71,21.53,14.71
546,2017-09-11,0.71,10.31,1006.07,5.76,9.91,0.77,13.84,3.90,0.04,0.28,19.73,12.12,21.73,14.12
576,2017-09-12,0.69,9.44,1012.82,4.95,9.92,0.73,10.83,3.81,0.03,0.29,20.09,12.61,22.09,14.61
880,2017-09-13,0.75,12.29,1013.89,6.06,9.40,0.80,14.07,3.50,0.04,0.26,21.74,13.13,23.74,15.13
539,2017-09-14,0.74,10.46,1015.07,5.32,9.79,0.73,13.16,3.98,0.06,0.62,19.34,9.40,21.34,11.40
538,2017-09-15,0.74,8.09,1015.23,2.98,9.90,0.75,6.85,3.62,0.03,0.38,17.67,8.06,19.67,10.06
271,2017-09-16,0.77,7.95,1013.12,2.70,9.60,0.77,6.49,3.62,0.04,0.37,17.42,8.49,19.42,10.49
460,2017-09-17,0.78,8.17,1014.82,2.91,9.60,0.79,6.72,3.57,0.03,0.39,16.82,9.06,18.82,11.06
533,2017-09-18,0.79,9.02,1017.99,2.53,9.15,0.78,6.46,3.48,0.02,0.22,17.65,9.18,19.65,11.18
303,2017-09-19,0.75,8.34,1021.03,3.70,9.72,0.72,7.61,3.60,0.03,0.42,17.68,7.69,19.68,9.69
1069,2017-09-20,0.72,7.77,1021.50,2.59,9.57,0.64,6.47,3.02,0.00,0.02,19.57,8.05,21.57,10.05
220,2017-09-21,0.69,8.28,1018.64,2.53,9.70,0.53,6.69,2.17,0.00,0.06,21.89,9.64,23.89,11.64
728,2017-09-22,0.74,10.03,1021.46,2.07,9.76,0.66,6.01,3.17,0.00,0.02,21.14,9.70,23.14,11.70
430,2017-09-23,0.75,10.79,1021.18,2.01,9.44,0.62,6.10,2.19,0.00,0.01,22.75,11.27,24.75,13.27
293,2017-09-24,0.75,11.96,1019.17,2.10,9.17,0.70,5.81,2.67,0.02,0.23,23.85,12.83,25.85,14.83
1,2017-09-25,0.81,12.71,1019.15,2.43,9.17,0.81,6.80,3.10,0.03,0.38,20.52,12.58,22.52,14.58
858,2017-09-26,0.81,12.48,1021.18,1.76,8.58,0.76,5.43,3.24,0.00,0.03,20.70,10.88,22.70,12.88
648,2017-09-27,0.77,11.90,1020.96,2.36,8.24,0.69,6.60,2.88,0.01,0.15,22.78,12.76,24.78,14.76
351,2017-09-28,0.75,12.74,1022.36,2.47,9.68,0.75,6.67,2.50,0.01,0.08,23.45,13.41,25.45,15.41
1110,2017-09-29,0.75,13.00,1020.73,2.71,9.56,0.75,6.80,2.26,0.01,0.12,24.32,12.98,26.32,14.98
822,2017-09-30,0.80,11.69,1020.11,2.76,9.61,0.84,8.13,2.93,0.06,0.60,18.79,11.70,20.79,13.70
349,2017-10-01,0.84,12.19,1019.84,3.39,8.69,0.91,6.43,2.95,0.02,0.19,18.42,14.50,20.42,16.50
897,2017-10-02,0.84,14.25,1020.75,3.65,9.36,0.90,8.01,2.95,0.02,0.22,20.49,13.75,22.49,15.75
238,2017-10-03,0.79,12.46,1022.47,3.17,9.62,0.74,8.33,2.90,0.03,0.41,19.97,9.44,21.97,11.44
515,2017-10-04,0.75,9.59,1025.30,2.26,9.86,0.65,6.13,2.55,0.00,0.01,20.36,9.06,22.36,11.06
600,2017-10-05,0.78,10.25,1021.48,3.48,9.49,0.69,8.60,2.33,0.00,0.04,20.75,10.18,22.75,12.18
794,2017-10-06,0.71,7.78,1022.84,4.29,9.79,0.64,8.91,2.74,0.01,0.07,17.60,6.12,19.60,8.12
870,2017-10-07,0.69,5.75,1024.23,3.08,9.73,0.67,8.33,1.57,0.00,0.04,18.14,9.43,20.14,11.43
441,2017-10-08,0.78,9.35,1020.79,2.88,9.38,0.82,6.95,2.19,0.01,0.06,18.11,10.29,20.11,12.29
684,2017-10-09,0.81,10.54,1021.10,2.23,8.77,0.81,6.02,2.52,0.01,0.09,18.81,10.37,20.81,12.37
1032,2017-10-10,0.80,10.75,1020.42,2.62,9.43,0.81,6.22,2.10,0.01,0.07,19.22,10.14,21.22,12.14
928,2017-10-11,0.75,10.52,1019.96,3.19,9.73,0.74,7.74,1.74,0.00,0.02,21.83,12.08,23.83,14.08
1038,2017-10-12,0.79,12.22,1024.38,2.80,9.58,0.76,7.01,2.07,0.00,0.03,21.13,11.13,23.13,13.13
203,2017-10-13,0.77,11.65,1025.92,2.07,9.17,0.67,5.25,1.98,0.00,0.03,23.03,10.77,25.03,12.77
290,2017-10-14,0.77,11.69,1025.98,1.94,8.27,0.64,5.26,1.86,0.00,0.07,23.30,11.42,25.30,13.42
886,2017-10-15,0.77,12.61,1023.80,3.14,9.16,0.54,5.83,1.29,0.00,0.02,24.26,13.50,26.26,15.50
438,2017-10-16,0.73,12.49,1022.70,3.71,9.72,0.51,7.34,1.29,0.00,0.00,24.29,10.72,26.29,12.72
542,2017-10-17,0.75,10.90,1020.77,2.85,9.46,0.58,5.94,1.55,0.01,0.11,22.34,11.70,24.34,13.70
105,2017-10-18,0.78,11.88,1013.65,3.03,9.32,0.71,6.17,2.07,0.01,0.20,21.58,12.40,23.58,14.40
720,2017-10-19,0.78,11.80,1010.39,4.04,9.37,0.75,9.39,2.00,0.07,0.70,20.63,11.77,22.63,13.77
694,2017-10-20,0.75,10.71,1014.53,4.12,9.86,0.75,8.90,2.05,0.01,0.21,19.36,11.97,21.36,13.97
458,2017-10-21,0.79,11.06,1016.97,5.25,9.70,0.75,13.58,1.98,0.04,0.35,18.79,9.95,20.79,11.95
333,2017-10-22,0.72,6.98,1021.52,5.55,10.00,0.75,11.94,1.95,0.04,0.30,15.38,9.53,17.38,11.53
1180,2017-10-23,0.77,8.20,1023.59,4.15,9.44,0.83,7.78,1.95,0.03,0.18,16.22,11.16,18.22,13.16
795,2017-10-24,0.79,10.68,1024.01,3.09,9.23,0.84,6.16,1.57,0.00,0.04,19.65,10.98,21.65,12.98
617,2017-10-25,0.78,10.72,1023.65,2.20,9.11,0.76,5.07,1.31,0.00,0.03,21.49,10.04,23.49,12.04
966,2017-10-26,0.79,10.64,1025.37,1.79,7.36,0.72,4.65,1.43,0.00,0.03,21.60,11.19,23.60,13.19
725,2017-10-27,0.80,10.49,1028.38,3.50,8.40,0.79,7.55,1.95,0.00,0.04,17.87,6.83,19.87,8.83
1099,2017-10-28,0.77,6.71,1028.48,3.27,8.81,0.71,7.01,1.62,0.00,0.03,15.84,7.92,17.84,9.92
1175,2017-10-29,0.80,7.86,1022.07,4.39,9.45,0.90,8.62,1.64,0.01,0.10,15.24,7.26,17.24,9.26
619,2017-10-30,0.74,5.22,1024.22,3.74,9.81,0.70,8.02,1.62,0.00,0.03,13.95,3.06,15.95,5.06
800,2017-10-31,0.74,3.37,1025.89,2.33,9.65,0.50,5.53,0.93,0.00,0.01,14.72,4.30,16.72,6.30
872,2017-11-01,0.74,5.14,1021.68,2.47,9.80,0.55,5.35,0.79,0.00,0.00,17.04,7.57,19.04,9.57
986,2017-11-02,0.80,8.68,1018.07,2.30,9.03,0.77,5.06,1.40,0.00,0.01,17.75,8.00,19.75,10.00
563,2017-11-03,0.82,9.12,1014.41,2.25,8.18,0.71,5.20,1.40,0.01,0.18,17.76,9.87,19.76,11.87
19,2017-11-04,0.84,10.30,1010.86,3.72,9.07,0.81,7.65,1.52,0.06,0.65,17.22,8.24,19.22,10.24
475,2017-11-05,0.79,5.90,1015.78,4.75,9.77,0.76,11.01,1.55,0.09,0.74,12.31,3.94,14.31,5.94
466,2017-11-06,0.74,2.34,1021.84,4.44,9.71,0.70,9.18,1.50,0.00,0.03,11.15,2.23,13.15,4.23
780,2017-11-07,0.76,1.91,1019.66,3.30,9.58,0.74,6.84,0.98,0.02,0.29,10.86,4.10,12.86,6.10
1190,2017-11-08,0.80,3.59,1020.50,3.36,9.32,0.85,6.65,1.40,0.03,0.19,9.91,5.24,11.91,7.24
92,2017-11-09,0.83,4.81,1025.13,2.92,8.84,0.87,5.41,1.38,0.03,0.15,10.33,5.95,12.33,7.95
160,2017-11-10,0.83,6.37,1024.95,3.93,8.72,0.87,8.05,1.36,0.01,0.10,12.54,8.20,14.54,10.20
530,2017-11-11,0.85,8.56,1019.46,5.26,9.07,0.89,11.26,1.24,0.05,0.28,14.04,10.06,16.04,12.06
367,2017-11-12,0.81,7.55,1013.12,6.07,9.42,0.82,14.41,1.26,0.05,0.52,14.49,4.36,16.49,6.36
65,2017-11-13,0.72,1.47,1019.78,5.44,10.00,0.70,11.30,1.26,0.00,0.04,9.92,2.18,11.92,4.18
508,2017-11-14,0.76,1.35,1024.65,3.30,9.02,0.69,6.78,1.19,0.00,0.00,10.50,2.73,12.50,4.73
45,2017-11-15,0.77,2.04,1023.91,2.38,8.32,0.80,5.01,0.88,0.00,0.01,11.70,2.51,13.70,4.51
1104,2017-11-16,0.79,2.54,1023.32,2.01,7.81,0.76,4.05,0.83,0.00,0.01,11.06,3.33,13.06,5.33
292,2017-11-17,0.80,3.65,1024.66,2.40,7.87,0.71,5.20,1.02,0.00,0.02,12.55,3.52,14.55,5.52
956,2017-11-18,0.82,3.79,1024.32,2.68,8.10,0.76,5.50,0.98,0.01,0.11,11.14,3.11,13.14,5.11
218,2017-11-19,0.81,3.56,1023.21,2.68,8.35,0.79,5.81,1.00,0.01,0.11,11.53,3.34,13.53,5.34
934,2017-11-20,0.83,4.56,1022.91,2.97,8.19,0.82,6.27,0.90,0.00,0.03,11.92,5.30,13.92,7.30
85,2017-11-21,0.81,5.63,1018.88,2.97,8.53,0.80,5.45,0.79,0.00,0.00,14.47,5.14,16.47,7.14
1107,2017-11-22,0.75,5.62,1011.77,4.36,9.15,0.68,9.30,0.74,0.00,0.02,16.35,9.32,18.35,11.32
724,2017-11-23,0.73,7.64,1010.76,5.23,9.71,0.73,12.48,1.00,0.03,0.41,16.56,8.69,18.56,10.69
688,2017-11-24,0.82,8.03,1014.91,3.41,9.48,0.87,7.37,1.00,0.04,0.41,14.05,7.24,16.05,9.24
1142,2017-11-25,0.80,4.65,1018.53,4.16,9.50,0.78,10.07,1.00,0.05,0.29,10.58,1.91,12.58,3.91
155,2017-11-26,0.74,0.15,1027.84,3.85,9.96,0.67,8.17,0.98,0.00,0.05,8.98,2.05,10.98,4.05
855,2017-11-27,0.76,1.65,1025.67,4.18,9.76,0.78,9.13,0.86,0.03,0.31,10.31,2.88,12.31,4.88
318,2017-11-28,0.79,2.36,1013.74,3.48,9.65,0.80,7.71,0.90,0.06,0.60,9.64,2.19,11.64,4.19
1045,2017-11-29,0.83,1.75,1009.62,2.85,8.92,0.77,5.72,0.98,0.01,0.11,7.93,1.17,9.93,3.17
953,2017-11-30,0.78,-0.21,1012.25,4.00,9.35,0.78,8.71,1.05,0.01,0.10,6.70,0.52,8.70,2.52
37,2017-12-01,0.81,-0.61,1015.63,4.15,9.20,0.79,8.55,0.98,0.03,0.31,5.06,0.16,7.06,2.16
436,2017-12-02,0.81,-1.19,1022.61,4.34,8.29,0.79,8.47,0.93,0.03,0.16,4.23,-1.28,6.23,0.72
729,2017-12-03,0.81,-1.02,1028.01,2.87,7.55,0.85,6.11,0.86,0.01,0.09,5.50,1.15,7.50,3.15
740,2017-12-04,0.83,1.83,1034.02,2.28,7.33,0.90,5.07,0.86,0.00,0.05,8.74,2.65,10.74,4.65
104,2017-12-05,0.84,2.54,1037.18,1.86,7.58,0.90,4.03,0.71,0.00,0.00,9.26,2.31,11.26,4.31
957,2017-12-06,0.83,1.47,1033.10,2.47,7.81,0.85,5.36,0.83,0.00,0.00,7.98,1.00,9.98,3.00
553,2017-12-07,0.83,2.87,1024.31,4.68,8.15,0.84,10.16,0.88,0.03,0.26,11.04,4.75,13.04,6.75
744,2017-12-08,0.78,2.43,1020.88,4.75,9.65,0.79,11.58,0.88,0.03,0.20,8.69,1.10,10.69,3.10
1125,2017-12-09,0.75,-1.12,1020.24,3.77,9.86,0.79,8.55,0.83,0.02,0.23,6.26,1.71,8.26,3.71
887,2017-12-10,0.85,4.14,997.75,6.10,8.90,0.91,15.76,0.93,0.13,0.94,10.99,6.56,12.99,8.56
25,2017-12-11,0.85,5.45,985.39,6.84,9.17,0.90,17.28,0.93,0.17,1.08,10.33,2.20,12.33,4.20
698,2017-12-12,0.81,1.78,1011.75,3.32,9.86,0.77,7.70,0.83,0.01,0.16,8.13,1.92,10.13,3.92
975,2017-12-13,0.81,2.98,1012.76,5.54,9.24,0.83,13.43,0.93,0.04,0.27,9.86,5.99,11.86,7.99
784,2017-12-14,0.80,4.92,1005.96,6.28,9.82,0.81,15.22,0.93,0.08,0.48,10.73,4.82,12.73,6.82
1153,2017-12-15,0.80,3.05,1003.23,5.26,9.86,0.79,12.54,0.93,0.05,0.49,8.72,2.83,10.72,4.83
647,2017-12-16,0.78,0.92,1016.74,4.20,9.83,0.76,8.00,0.88,0.01,0.14,7.49,1.48,9.49,3.48
339,2017-12-17,0.81,1.18,1026.74,3.45,9.19,0.84,7.00,0.88,0.01,0.10,7.35,3.47,9.35,5.47
119,2017-12-18,0.84,3.29,1026.77,3.98,8.72,0.84,8.37,0.90,0.03,0.29,8.89,1.20,10.89,3.20
1135,2017-12-19,0.86,1.72,1034.70,2.35,7.91,0.73,4.59,0.76,0.00,0.01,7.74,2.02,9.74,4.02
27,2017-12-20,0.88,3.28,1035.88,2.46,6.80,0.91,4.89,0.93,0.00,0.03,8.41,5.04,10.41,7.04
558,2017-12-21,0.89,5.38,1037.96,2.45,6.77,0.88,4.74,0.90,0.01,0.05,9.71,6.27,11.71,8.27
984,2017-12-22,0.89,6.36,1036.59,2.63,7.59,0.89,5.29,0.93,0.01,0.07,10.41,6.55,12.41,8.55
1152,2017-12-23,0.87,5.97,1036.45,2.36,8.23,0.91,5.30,0.83,0.00,0.03,10.67,5.19,12.67,7.19
571,2017-12-24,0.86,4.64,1031.42,2.68,9.28,0.89,4.98,0.79,0.00,0.04,9.44,3.66,11.44,5.66
791,2017-12-25,0.86,3.69,1020.71,4.13,8.85,0.88,8.03,0.83,0.02,0.39,9.22,4.12,11.22,6.12
890,2017-12-26,0.82,4.30,1007.93,5.31,9.69,0.80,13.63,0.93,0.08,0.54,9.97,4.86,11.97,6.86
552,2017-12-27,0.79,2.62,994.21,6.93,9.82,0.84,17.32,0.93,0.09,0.69,8.11,1.26,10.11,3.26
1186,2017-12-28,0.76,-0.67,1006.00,4.06,9.92,0.75,9.01,0.83,0.02,0.10,6.73,1.02,8.73,3.02
464,2017-12-29,0.82,2.37,1010.91,4.87,9.60,0.85,13.39,0.88,0.05,0.54,9.41,6.53,11.41,8.53
1183,2017-12-30,0.84,8.42,1012.70,6.48,8.99,0.91,15.15,0.93,0.07,0.60,14.33,8.38,16.33,10.38
766,2017-12-31,0.80,7.01,1012.27,6.12,9.73,0.85,14.90,0.81,0.04,0.42,14.43,6.44,16.43,8.44
320,2018-01-01,0.77,4.49,1012.60,7.26,9.77,0.80,17.96,0.90,0.09,1.00,11.14,6.23,13.14,8.23
1119,2018-01-02,0.81,5.65,1017.70,5.20,9.21,0.88,11.81,0.86,0.02,0.17,11.73,8.70,13.73,10.70
498,2018-01-03,0.77,7.22,1013.10,8.60,9.36,0.86,21.47,0.90,0.07,0.59,14.33,8.81,16.33,10.81
435,2018-01-04,0.83,9.16,1009.41,7.12,9.00,0.90,16.78,0.90,0.06,0.51,14.92,8.36,16.92,10.36
581,2018-01-05,0.83,7.25,1004.55,4.17,9.69,0.83,10.38,0.88,0.04,0.37,13.22,6.26,15.22,8.26
692,2018-01-06,0.88,6.14,1005.93,3.04,9.28,0.88,6.72,0.93,0.03,0.26,10.16,6.61,12.16,8.61
162,2018-01-07,0.83,5.65,1010.93,6.76,9.18,0.92,12.35,0.93,0.06,0.42,10.18,6.51,12.18,8.51
357,2018-01-08,0.84,5.09,1014.02,4.87,9.15,0.89,9.29,0.90,0.08,0.61,9.85,4.26,11.85,6.26
199,2018-01-09,0.87,4.91,1011.44,3.32,7.91,0.84,7.19,0.88,0.03,0.26,10.37,5.65,12.37,7.65
575,2018-01-10,0.84,5.17,1010.88,3.30,9.79,0.83,6.45,0.95,0.02,0.23,11.05,4.55,13.05,6.55
265,2018-01-11,0.87,4.41,1015.40,2.99,8.40,0.84,6.68,0.93,0.01,0.11,9.31,3.64,11.31,5.64
1056,2018-01-12,0.85,3.29,1023.66,2.68,7.67,0.85,5.50,0.88,0.01,0.07,8.63,1.84,10.63,3.84
601,2018-01-13,0.84,2.12,1019.32,3.24,8.20,0.81,5.95,0.95,0.00,0.01,8.27,2.72,10.27,4.72
746,2018-01-14,0.84,2.69,1017.96,2.55,8.49,0.80,4.48,0.90,0.01,0.08,8.60,2.89,10.60,4.89
175,2018-01-15,0.85,4.57,1015.87,5.17,8.87,0.87,12.86,1.00,0.06,0.48,10.41,7.48,12.41,9.48
828,2018-01-16,0.81,6.53,1009.71,7.52,9.75,0.85,16.98,1.07,0.07,0.39,12.15,5.73,14.15,7.73
1041,2018-01-17,0.70,2.11,1015.57,7.74,9.88,0.73,17.33,1.10,0.04,0.32,9.67,4.70,11.67,6.70
1140,2018-01-18,0.80,4.90,1015.07,6.40,9.33,0.84,14.23,0.98,0.04,0.35,11.74,5.03,13.74,7.03
117,2018-01-19,0.79,3.72,1016.08,4.43,9.91,0.77,9.69,1.05,0.02,0.23,10.21,4.18,12.21,6.18
267,2018-01-20,0.85,5.40,1011.89,6.03,8.79,0.90,15.61,1.07,0.16,1.22,11.18,7.65,13.18,9.65
903,2018-01-21,0.85,7.19,1016.66,5.61,8.23,0.89,12.01,1.05,0.06,0.36,11.73,8.75,13.73,10.75
431,2018-01-22,0.84,8.26,1018.16,5.72,9.10,0.88,13.45,1.17,0.04,0.32,13.55,6.76,15.55,8.76
557,2018-01-23,0.84,7.14,1025.02,4.01,8.88,0.86,8.22,1.12,0.01,0.10,13.14,7.76,15.14,9.76
616,2018-01-24,0.83,7.57,1022.19,5.09,9.37,0.86,11.26,1.00,0.02,0.25,14.18,7.39,16.18,9.39
1054,2018-01-25,0.84,6.52,1016.90,4.14,9.62,0.87,8.40,1.21,0.04,0.30,11.52,5.29,13.52,7.29
680,2018-01-26,0.86,4.75,1019.75,3.54,9.48,0.84,7.37,1.26,0.11,0.57,9.57,3.33,11.57,5.33
442,2018-01-27,0.88,4.16,1031.20,3.06,7.71,0.84,6.29,1.24,0.05,0.65,9.06,3.63,11.06,5.63
396,2018-01-28,0.88,5.23,1037.54,3.02,7.97,0.90,5.38,0.95,0.00,0.05,11.05,5.70,13.05,7.70
395,2018-01-29,0.87,5.96,1034.89,3.13,8.70,0.91,5.93,1.00,0.00,0.05,10.95,5.67,12.95,7.67
997,2018-01-30,0.88,6.06,1030.43,2.14,8.54,0.92,4.75,1.33,0.01,0.08,10.62,6.04,12.62,8.04
866,2018-01-31,0.85,5.34,1018.78,4.59,9.15,0.88,10.46,1.26,0.05,0.49,10.63,3.79,12.63,5.79
1141,2018-02-01,0.82,2.57,1008.93,4.07,9.73,0.81,8.68,1.40,0.04,0.31,8.17,1.61,10.17,3.61
963,2018-02-02,0.79,0.74,1010.79,3.91,9.56,0.83,7.60,1.43,0.01,0.09,7.48,2.03,9.48,4.03
834,2018-02-03,0.80,1.06,1009.31,3.91,9.56,0.86,8.75,1.40,0.03,0.28,7.20,1.57,9.20,3.57
817,2018-02-04,0.80,0.46,1015.15,3.78,9.49,0.86,8.70,1.38,0.01,0.09,7.01,0.88,9.01,2.88
496,2018-02-05,0.83,-0.05,1017.81,4.56,8.95,0.87,7.57,1.50,0.05,0.29,4.77,0.96,6.77,2.96
167,2018-02-06,0.82,-0.39,1013.09,3.99,7.72,0.87,7.90,1.52,0.01,0.12,4.94,-0.11,6.94,1.89
331,2018-02-07,0.78,-2.03,1015.83,4.03,8.60,0.86,7.51,1.60,0.01,0.08,3.92,-1.39,5.92,0.61
307,2018-02-08,0.78,-2.20,1020.48,2.88,8.16,0.74,6.25,1.64,0.01,0.05,4.94,-1.26,6.94,0.75
163,2018-02-09,0.79,-1.21,1017.21,3.75,8.04,0.75,8.77,1.83,0.03,0.33,6.01,0.22,8.01,2.22
408,2018-02-10,0.77,-0.38,1018.87,4.18,9.49,0.79,8.09,1.67,0.01,0.08,7.50,2.18,9.50,4.18
365,2018-02-11,0.79,2.01,1012.59,4.59,9.29,0.85,10.47,1.88,0.03,0.21,9.34,1.11,11.34,3.11
236,2018-02-12,0.71,-1.48,1018.12,3.98,9.98,0.62,8.53,1.81,0.01,0.14,7.60,-1.50,9.60,0.50
111,2018-02-13,0.73,-2.28,1011.94,4.63,9.65,0.81,12.11,1.76,0.04,0.35,6.54,0.01,8.54,2.01
125,2018-02-14,0.82,1.02,1013.03,3.78,9.02,0.87,9.08,1.83,0.06,0.39,7.81,4.39,9.81,6.39
137,2018-02-15,0.86,6.20,1017.38,3.30,8.77,0.92,6.40,1.90,0.02,0.19,12.45,4.65,14.45,6.65
593,2018-02-16,0.83,5.20,1024.10,2.12,8.96,0.85,4.38,1.93,0.01,0.11,12.02,5.59,14.02,7.59
1129,2018-02-17,0.85,4.83,1021.79,3.09,8.90,0.85,7.04,1.98,0.08,0.66,10.27,2.38,12.27,4.38
316,2018-02-18,0.85,3.18,1023.01,3.34,7.77,0.77,7.21,2.00,0.03,0.17,9.24,3.01,11.24,5.01
390,2018-02-19,0.85,3.25,1018.80,2.43,7.43,0.90,4.81,2.00,0.03,0.17,9.03,4.97,11.03,6.97
34,2018-02-20,0.82,3.55,1016.28,4.21,8.88,0.90,8.37,2.05,0.05,0.18,9.35,1.58,11.35,3.58
95,2018-02-21,0.70,-1.17,1017.31,5.07,8.61,0.57,8.64,2.19,0.03,0.26,6.91,-0.63,8.91,1.37
